10651|Mr.Darcy	mdp.39015003474866|Spade	right
86	mdp.39015047606440|Rotherham	mdp.39015003474866|Spade	right
5819|Huck	2655|LordHenry	right
87	mdp.39015022095585|Ruthie	2655|LordHenry	right
7422|Sikes	9583|Deronda	wrong
88	inu.30000035415862|Lucas	9583|Deronda	wrong
mdp.39015047606440|Serena	mdp.39015031600409|Carmen	right
89	10651|Elizabeth	mdp.39015031600409|Carmen	right
mdp.39015038927201|Faramir	nyp.33433076067192|Tull	wrong
90	5854|Richard	nyp.33433076067192|Tull	right
11034|Nicholas	inu.30000007060282|Wimsey	wrong
91	mdp.39015022095585|Casy	inu.30000007060282|Wimsey	right
mdp.39015003625863|Margaret	2655|Sibyl	wrong
92	1516|Elinor	2655|Sibyl	right
