word,slope,mean,intercept,change,approachmid,approachstd
attack,-1.26220180122e-07,-1.58983274433,-1.58959292599,-0.0715758251473,0.0268235890272,0.0265736670506
disposition,0.00326987392882,-0.0788257233033,-6.29158618806,0.202164297908,0.309659704993,0.300111282043
entertained,0.0069505953552,-0.271552121173,-13.477683296,0.554606948472,0.498785230875,0.478676606493
pictures,0.00629339836243,-0.719546312292,-12.6770032009,0.730659842868,0.847556446146,0.593077639854
was-accompany,0.00492846107998,-0.21276267291,-9.57683872487,0.364150144294,0.671811240026,0.603142106015
good,0.00395719424608,0.196046606598,-7.32262246096,0.306794095985,-0.155717414115,-0.150352931438
instructions,0.00293429482869,-1.12134321091,-6.69650338543,0.324026434382,0.401608619667,0.351148046815
enemy,0.00247211014413,-0.802981892141,-5.499991166,0.183187674407,0.370877925585,0.354549678677
conceived,0.00333030934276,-0.750477873705,-7.07806562495,0.302048609705,0.646801879638,0.567776553289
bill,0.000719408541582,-1.58630961552,-2.95318584453,0.11654621181,0.170240401865,0.130122637337
was-help,0.000243991502022,0.146301824746,-0.317282029095,-0.0231136921579,0.0845376878769,0.0720156583897
purchased,0.00453940782472,-1.10030574915,-9.72518061612,0.717017169,0.836518096502,0.710095140337
opponents,0.000249676696444,-2.02110467775,-2.495490401,0.061307777554,0.0765219786717,0.0790448232136
promise,0.000714832257943,-0.453741492978,-1.81192278307,-0.0878961886998,0.0677217426714,0.0655820030957
was-admitted,0.00851745038578,-1.14388751323,-17.3270432462,0.934230870508,1.26623829929,0.990575882779
taking,0.00298150188464,-0.279399685448,-5.94425326626,0.283559520311,0.383480866124,0.365648873922
action,-0.00405146139584,-0.796952709025,6.90082394307,-0.328097729618,-0.585136531807,-0.537810856439
continues,0.00192405029778,-0.259816039043,-3.91551160483,0.161159372088,0.252120677383,0.224054332986
was-cried,0.00081270969722,0.463734547506,-1.08041387721,0.265158383509,-0.148121902104,-0.122111683697
feeling,-0.000625726445049,0.168076652287,1.35695689788,0.0132686278004,0.0275426759501,0.0232806274648
charge,0.00274259698998,-0.636564821284,-5.84749910225,0.296370944984,0.333221997622,0.29069267352
was-seeing,0.00367074309406,-0.0604807886698,-7.03489266739,0.350014083564,0.261854794061,0.254259843762
passion,0.00338999008986,-0.225554017976,-6.66653518871,0.365014572082,0.499052978774,0.4597356177
language,0.00357915041792,-0.702819734305,-7.50320552834,0.233161917595,0.491331750777,0.438477795787
afraid,0.007807584069,-0.0561159989127,-14.89052573,0.694332348322,0.282607892234,0.264692957147
trial,0.00126736143174,-0.743241392466,-3.15122811276,-0.0111780292584,0.273627898949,0.214696764296
devotion,0.0038628443351,0.0221488946268,-7.31725534207,0.521928305032,-0.0248645350112,-0.0234423599617
chosen,0.00579860762406,-0.433989773081,-11.4513442588,0.583306776535,0.913229373773,0.938545932438
lives,0.00656195763,-0.0462614786051,-12.5139809756,0.643217542328,0.296575502478,0.241123370339
term,-0.00814981631178,-1.31975981087,14.1648911815,-0.374536924817,-0.970429321134,-0.725994147238
arranged,-0.00285954146205,0.0311097441985,5.46423852209,-0.187180248667,0.103236970535,0.0954103169653
dress,0.0121224292102,1.40794416677,-21.6246713327,1.39328737415,-1.86650724863,-1.45987908875
was-induced,0.00836272598574,-0.595409352179,-16.4845887251,0.747310480942,1.1659616467,1.0291924204
thinking,-0.00312217352008,-0.19685502946,5.73527465869,-0.298283571766,-0.338529706594,-0.375705588441
show,0.00240660342429,-0.349979051227,-4.92252555739,0.324544795278,0.326730330632,0.358690662451
issued,-0.00234716453011,-1.33254896158,3.12706364563,-0.128133962876,-0.365146536517,-0.336032261033
dined,0.00347192672265,-0.515955541944,-7.11261631498,0.26365043367,0.506986579974,0.452834477367
habits,0.000698388591207,-0.618849973228,-1.94578829652,0.110321675178,-0.00435725522087,-0.00386201862586
spoken,0.00321845843817,-0.734350153432,-6.84942118595,0.205717449501,0.505347300311,0.498354553767
activities,-0.0140304830906,0.293505869523,26.9514237417,-1.50337690076,1.01723830156,0.862128112501
actions,-0.000664078911991,-0.587494939532,0.674254993251,-0.298839756812,-0.112827641925,-0.102853132131
was-gave,0.00402510767168,-0.136926682437,-7.78463125864,0.375439662941,0.401572944991,0.429032638447
completed,0.00296535538035,-0.630292065728,-6.2644672884,0.316215514294,0.508499339736,0.506758883217
message,-0.00257549525377,-0.821501274641,4.07193970752,-0.154615368797,-0.384720870556,-0.342032093568
skill,0.00671863162113,-0.825626936728,-13.5910270169,0.697665982421,0.98659419211,0.907777399939
example,0.00173004114487,-0.336517053648,-3.6235952289,-0.040825752032,0.158165788099,0.147353167093
persuaded,0.00203187118515,-0.175370101617,-4.03592535339,-0.00653462104454,0.32166895017,0.300197593002
theory,-0.0040347616176,-1.403292784,6.26275428944,-0.311120631061,-0.442130405841,-0.37275379027
was-educated,0.0075231642052,-0.473039466999,-14.7670514569,0.904156628072,0.765125721292,0.537778775874
beauty,-0.00248346479051,2.92335973429,7.64194283625,-0.152600791261,0.441965431243,0.395393879478
recommended,0.00167756466217,-1.16969218466,-4.35706504278,0.0872113538441,0.198778406056,0.208293565236
ship,0.00391623833284,-1.5501801918,-8.99103302419,0.406275084998,0.725995945361,0.687727537162
contributed,0.00566969337777,-0.685931433785,-11.4583488515,0.626775390693,0.850463707666,0.777084647237
