,year,count,authgender,chargender,auth_char_gender
275,1893,426,u,u,u:u
276,1893,418,u,f,u:f
277,1893,308,m,u,m:u
278,1893,297,m,f,m:f
279,1893,153,f,u,f:u
280,1892,5036,u,m,u:m
281,1892,3642,m,m,m:m
282,1892,1354,f,m,f:m
283,1892,442,f,f,f:f
284,1892,363,m,u,m:u
285,1892,359,m,f,m:f
286,1892,310,u,u,u:u
287,1892,223,u,f,u:f
288,1892,150,f,u,f:u
289,1891,4926,u,m,u:m
290,1891,2688,m,m,m:m
291,1891,1320,f,m,f:m
292,1891,446,u,f,u:f
293,1891,442,u,u,u:u
294,1891,396,f,f,f:f
295,1891,310,m,u,m:u
296,1891,220,m,f,m:f
297,1891,142,f,u,f:u
298,1890,5385,m,m,m:m
299,1890,3644,u,m,u:m
300,1890,1337,f,m,f:m
301,1890,844,m,u,m:u
302,1890,527,m,f,m:f
303,1890,455,f,f,f:f
304,1890,323,u,f,u:f
305,1890,285,u,u,u:u
306,1890,207,f,u,f:u
307,1889,3238,u,m,u:m
308,1889,2600,m,m,m:m
309,1889,1520,f,m,f:m
310,1889,755,f,f,f:f
311,1889,344,u,f,u:f
312,1889,314,u,u,u:u
313,1889,310,m,u,m:u
314,1889,252,m,f,m:f
315,1889,209,f,u,f:u
316,1888,4351,u,m,u:m
317,1888,3123,m,m,m:m
318,1888,1295,f,m,f:m
319,1888,585,u,f,u:f
320,1888,375,u,u,u:u
321,1888,365,m,u,m:u
322,1888,364,m,f,m:f
323,1888,361,f,f,f:f
324,1888,183,f,u,f:u
325,1887,4482,u,m,u:m
326,1887,4328,m,m,m:m
327,1887,686,f,m,f:m
328,1887,432,m,u,m:u
329,1887,414,u,u,u:u
330,1887,411,u,f,u:f
331,1887,377,m,f,m:f
332,1887,354,f,f,f:f
333,1887,101,f,u,f:u
334,1886,1780,u,m,u:m
335,1886,1777,m,m,m:m
336,1886,468,f,m,f:m
337,1886,321,u,u,u:u
338,1886,261,f,f,f:f
339,1886,186,u,f,u:f
340,1886,178,m,f,m:f
341,1886,175,m,u,m:u
342,1886,75,f,u,f:u
343,1885,10969,u,m,u:m
344,1885,3419,m,m,m:m
345,1885,1032,f,m,f:m
346,1885,908,u,f,u:f
347,1885,676,u,u,u:u
348,1885,353,m,u,m:u
349,1885,246,m,f,m:f
350,1885,227,f,f,f:f
351,1885,140,f,u,f:u
352,1884,3302,m,m,m:m
353,1884,2685,u,m,u:m
