8224|Mr.Haredalo	fic1880m
uc1.32106002059688|Tracey	fic1977f
1973|Harpe	fic1834m
uc1.$b106345|Doreen	fic1954f
mdp.39015033259600|TrinityCollege	bio1995f
loc.ark+=13960=t47p9rm6f|Harding	bio1880m
wu.89099962268|Drummond	bio1923m
uc2.ark+=13960=t7xk88g31|Bruce	bio1852m
mdp.39015031312344|Milton	bio1886m
uc1.$b105577|MadameDina	fic1923f
mdp.39015030657178|Mr.Eden	bio1859m
mdp.39015008160296|JohnGough	bio1960m
inu.30000094865627|Pini	fic2004m
mdp.39015015126900|Samson	fic1989m
7545|Ney	fic1843m
1984|LewisArnton	fic1845m
13192|MissPembroke	fic1816f
12810|Lily	fic1881f
mdp.39015062562023|Mr.Morris	fic2005m
mdp.39015008924691|Butz	bio1980m
mdp.39015073721584|Foliot	bio1790m
7873|Ernest	fic1875m
mdp.39015014862265|Elenka	fic1968u
nyp.33433082383930|DanBradley	bio1886m
pst.000029123254|Alan	fic1963m
mdp.39015005776847|Scarlett	fic1936m
mdp.39015063975554|LordStanley	bio1885m
mdp.39015012153790|Jabez	bio1916u
mdp.39015014180213|Rich	bio1989m
inu.32000010022269|Watt	bio1855m
mdp.39015033146344|RepublicanHouse	bio1994m
mdp.39015066060107|LouBastidou	bio1950m
osu.32435054616578|DickHansard	fic1934m
mdp.39015015194304|Taylor	bio1970m
uc1.$b111328|Darwin	fic1947m
4220|Mr.Hallo	fic1887m
uc2.ark+=13960=t6736tv3h|Julius	bio1812m
coo.31924010196057|Schoolcraft	bio1914m
inu.30000060703851|Bill	fic1998m
uc1.b4439377|Linda	fic1988f
4525|Spike	fic1883m
mdp.39015016446513|Gottfried	fic1961m
4787|Dalrymple	fic1891m
uc1.32106007456509|MissAlice	fic1970f
mdp.49015001418822|Jadamborazo	fic1992u
uc1.b3688227|Mr.Sidell	fic1937m
14903|Jos	fic1796m
mdp.39015003689471|Henry	bio1962m
4375|Jim	fic1838m
mdp.39015048776424|Alyssa	fic1999f
inu.30000114414166|Neel	fic1941m
uc1.32106005033284|Watt	bio1980m
uc1.b4449764|Munford	bio1979m
yale.39002008659741|Rice	bio1872m
7361|Mr.Seelye	fic1869m
mdp.39015054019511|Hugh	bio1977m
10069|Hannah	fic1857f
uc1.b4933964|ElisabethAjoupa	fic1972f
uc1.b3852513|Paget	bio1963m
5423|Mr.Philoso	fic1800m
mdp.39015082013486|Rena	bio1967f
mdp.39015031236774|LordGeorgeSackville	bio1900m
8004|Mr.Clement	fic1850m
uc2.ark+=13960=t1dj5cs02|FrancisBurdett	bio1811m
njp.32101068928017|Humphrey	bio1826m
mdp.39015063923125|Donnie	fic1914m
mdp.39015059900079|CharlesKnight	bio1878m
7500|MissEdgeworth	fic1862f
uc1.$b468832|Chesterfield	bio1857m
mdp.39015067076466|Mr.Flamsteed	bio1812m
mdp.39015052002543|Irene	bio2000f
mdp.39015002252966|Aeschylus	bio1937u
14963|MaximilianLordFroth	fic1805m
11515|Williamson	fic1896f
8681|Alberoni	fic1898u
inu.32000009190630|Mary	bio1960f
wu.89058667130|DeGrey	bio1874m
13878|LadyEltondale*	fic1817f
uc1.32106014241126|Helga	fic1988f
13695|Mrs.Sto	fic1820f
mdp.39015073763461|ThomasClavering	bio1838m
uc1.b4373648|Mr.Adams	bio1955m
7766|Matthew	fic1881m
13455|Jonathan	fic1788m
uc1.b3810906|Hilda	fic1947f
mdp.39015024074000|Chris	bio1973m
mdp.39015029235895|Lamont	bio1993m
uiuo.ark+=13960=t1qf92c45|Hutchins	bio1822m
inu.30000103165225|Wazir	fic1957m
mdp.49015001280222|MissWilliams	fic1946f
mdp.39015031238705|Margiad	fic1972m
mdp.39015057529771|ArthurJ.Balfour	bio1970m
nyp.33433074835814|Cromwell	fic1917m
njp.32101067484137|LordNorth	bio1833m
mdp.39015056690368|Laby	bio1966m
mdp.39015054142529|Mary	fic2002f
6081|Jessy	fic1872u
13492|Lazarus	fic1824m
pst.000015239815|St.LouisExposition	bio1955m
12449|MissBradwardine	fic1862f
uva.x000415762|Washburn	bio1889m
nyp.33433067276075|Alva	bio1889m
mdp.39015030857828|Stranovic	fic1954u
mdp.39076005097402|Macmillan	bio1921m
wu.89094739786|DonSebastian	bio1856m
mdp.39015000634934|Sally	bio1967f
uc1.32106019141032|William	fic2006m
uc1.32106011155311|MissAnglin	bio1929f
dul1.ark+=13960=t70v99x8f|M.deBussy	bio1840m
mdp.39015038774207|Vicenza	bio1915u
5734|Grevin	fic1896u
3121|Mrs.Parry	fic1847f
uc1.$b300911|AngusGarth	fic1925m
3863|Jenny	fic1823f
coo.31924002962680|BenjaminFranklinGreene	bio1941m
mdp.39015047685261|Hibbert	bio1881m
inu.32000014228151|Solomon	fic1911m
uc1.$b184694|KitSmith	bio1986u
uc1.32106016861111|Anna	fic2002f
uc1.b4349456|Sartine	bio1977m
uc2.ark+=13960=t50g3kf7c|Mr.EdwardDavenport	bio1886m
wu.89094736881|Mr.JufticeTwifden	bio1804m
uc1.32106007456509|Elihue	fic1970m
437|Eustace	fic1815m
mdp.39015034227317|Robinson	fic1994m
10259|Mr.Harrington	fic1835m
mdp.39015032304167|Mazepa	bio1995m
mdp.39015024993373|Angela	fic1991f
uc1.b3639340|DeRuijter	bio1931m
wu.89099962656|Seymour	bio1931m
8505|MrWace	fic1878m
uc2.ark+=13960=t25b0cx00|Mr.Gatty	bio1922m
wu.89094739786|Rolle	bio1856m
uc1.$b87230|Mr.Gall	fic1958m
mdp.39015047657757|Parliament	bio1901u
mdp.39015059430739|Kent	bio1819m
4725|JosephPraio	fic1824m
uc1.b4098374|Mr.Graham	bio1942m
4814|Kippletringan	fic1829u
wu.89008828170|EarlMarshal	bio1868m
uc1.$b251096|JessieBond	bio1930f
mdp.39015031325833|AliceDerby	fic1949f
13847|Winterton	fic1801m
wu.89071082846|Colbert	bio1812m
11365|Harold	fic1881m
nnc2.ark+=13960=t1gh9j92m|Georges	bio1813m
inu.30000055970234|Eva	fic1995f
mdp.39015074813810|Charles	bio1926m
uc1.$b602138|Ambrose	fic1956m
13410|Lionel	fic1872m
702|Luke	fic1846m
nyp.33433003347030|Dr.Kane	bio1857m
uc1.$b663175|Mr.Pinero	bio1890m
3477|MadamedeBlene	fic1844m
nyp.33433082360664|Mr.Tyrwhit	bio1803m
uc2.ark+=13960=t8nc5v66h|Ben	fic1904m
nyp.33433082540703|Mr.Turner	bio1807m
1436|Mr.Adams	fic1884m
uc1.$b751416|Mr.C.Townshend	bio1949m
njp.32101065972588|Margaret	bio1885f
15025|Pamela	fic1785f
nyp.33433075765275|Molly	fic1908f
nyp.33433081786497|Dr.Barker	bio1893m
uc1.b4445430|Mattie	fic1924m
mdp.39015008254800|Foster	bio1948m
uc2.ark+=13960=t6833q55f|George	bio1912m
5528|LadyHauteville	fic1892f
uc1.b3638753|Prince	bio1821m
uc1.b4380054|HenryBlow	bio1946m
uc1.b3727548|HenryLayard	bio1952m
mdp.39015046463629|LordMormont	fic1999m
mdp.39015020405232|Lely	bio1983m
14640|Mr.VincentTempleman	fic1845m
inu.30000039918408|Michaela	fic1988f
uc1.b3728091|Allan	fic1966m
uc1.b2985157|Margaret	bio1885f
uc1.32106020097710|Cahen	bio1967m
nyp.33433082533302|Ryan	bio1801m
7494|Mr.Clarkson	fic1860m
mdp.39015008555016|LordRandolphChurchill	bio1966m
nyp.33433009303706|Purchas	bio1833u
11049|Will	fic1876m
uc1.b4351950|Pamburg	fic1959u
wu.89061993572|JosephBenjaminBurr	bio1914m
nyp.33433078779190|Mr.Knight	bio1829m
uc1.b4393281|Maude	bio1941f
nyp.33433067285522|Peebles	bio1831m
mdp.39015065237086|Titian	bio1880m
uc2.ark+=13960=fk1td9n954|Scott	bio1869m
loc.ark+=13960=t1mg87m0g|Vose	bio1885m
10200|William	fic1816m
uc1.31822035083740|Mr.Cathcart	bio1907m
uc1.32106019735866|Bassett	bio1940m
mdp.39015047874972|Francy	fic2000u
yale.39002007283147|Mrs.Brown	bio1883f
uc1.b4432870|Pollak	bio1989m
uc1.$b245047|Robin	fic1946m
nyp.33433082542758|William*	bio1805m
uc1.$b86298|Lloyd	fic1957m
mdp.39015001389801|MissMoore	fic1979f
nyp.33433074894191|Drayton	bio1860m
mdp.39015042857535|CharlesBrabin	bio1981m
15006|Lucius	fic1822m
uc1.$b114024|Nadia	fic1965f
nyp.33433082361613|E.P.Gurney	bio1884m
mdp.39015004807387|Mrs.Hayes	bio1945f
mdp.39015030812484|Jones	bio1966m
nyp.33433081817474|JohnFox	bio1896m
inu.30000035415862|Constance	fic1954m
uc1.b3866149|DuPont	bio1948m
uc1.b3727469|Bill	bio1964m
nyp.33433074808530|Silverton	fic1904f
uva.x001097176|K.B.	bio1843m
mdp.39015008383658|St.Helena	bio1920f
mdp.39015066688089|Molly	fic1957f
loc.ark+=13960=t0xp7bc8n|Abraham	bio1859m
mdp.39015082003636|CharlesTalbot	bio1969m
uc1.$b244171|Dr.Cave	fic1947m
9456|Miko	fic1829m
10580|Loxley	fic1838m
mdp.39015019394561|Louisa	bio1991f
mdp.39015030706934|Ellen	fic1969f
10677|Schabacker	fic1841m
uc1.b3478156|Molanus	bio1875u
nnc2.ark+=13960=t9183cv07|Coventry	bio1859u
mdp.39015004404292|Sharon	bio1978m
mdp.39015052767467|ChowMeng	bio2000m
uc1.b4296008|Leiter	bio1972m
uc2.ark+=13960=t1cj89n9m|MonsieurLeblanc	fic1913m
uc1.$b56730|Kate	fic1945f
uc1.b4101635|MISSPEABODYBrookFarm	bio1907f
mdp.39015013931392|LongJohn	fic1988m
3976|Mrs.Douglas	fic1881f
uc1.$b135324|duBousquier	fic1952u
uc1.b3389075|Gilby	bio1858m
mdp.39015062973253|Dr.CalebEvans	bio1819m
uc2.ark+=13960=t38053k96|Mary	fic1917f
nyp.33433081823407|George	bio1893m
mdp.39015046826544|Rosenman	bio1974m
14112|Mrs.Castlemaine	fic1873f
mdp.39015004767607|Hathaway	fic1982u
14910|Biddy	fic1852m
mdp.39015008439856|McMurdo	fic1930m
mdp.39015063931052|Martin	fic1951m
uva.x002403757|Mr.Holles	bio1864m
mdp.39015029870766|MissElisabeth	bio1993f
5874|lordCobham	fic1828m
nyp.33433082358304|Jena	bio1827f
8207|Sarah	fic1875f
mdp.39015073820824|Laura	fic1979f
6894|MissNancy	fic1883f
mdp.39015003625863|Charles	fic1954m
uc1.b4088438|Wingate	fic1939m
uc1.b4311664|Katharine	bio1981f
nyp.33433082541511|Gorton	bio1809m
mdp.39015062936276|Mr.Otero	bio1974m
uc1.b4389971|Mr.Chue	bio1961m
4002|Arthur	fic1899m
mdp.39015001527780|Mr.J.	bio1969m
wu.89058638925|Wood	bio1958m
loc.ark+=13960=t3126895n|Mr.Garrison	bio1870m
mdp.39015013738029|Johniii	bio1851m
pst.000005058235|Charrington	fic1979u
mdp.39015005311900|Boucher	bio1946m
4358|Laurence	fic1811m
4860|Mr.Murray	fic1831m
5521|MissGrandison	fic1883f
nyp.33433082541255|Dr.Robinson	bio1900m
uc1.b3578962|MatthewArnold	bio1924m
mdp.39076002947765|Ely	fic1962u
3686|Rose	fic1899m
1848|Dick	fic1855m
1338|Saul	fic1825m
mdp.39015027553356|Drusus	fic1951u
mdp.39015020820125|GerrishNunn	bio1993m
nyp.33433081781316|Jacob	bio1922m
14143|HarryHenley	fic1806m
14928|MissLina	fic1883f
uc1.b4445397|Peter	fic1937m
nyp.33433082541537|Willard	bio1809m
mdp.39015013759116|JaneMartin	fic1902m
nyp.33433082541537|Dr.Holmes	bio1809m
nyp.33433082207824|HenryHull	bio1847m
uc1.$b56169|Patrick	fic1949m
loc.ark+=13960=t9c53t751|Thompson	bio1877m
mdp.39015073763008|NicholasThrokmorton	bio1838m
uc1.32106005780645|Longfellow	bio1939u
8762|Crane	fic1869m
8525|Esme	fic1819u
uc2.ark+=13960=t2v40n54h|LordLiverpool	bio1874m
mdp.39015078232280|ChristChurch	bio1966m
9583|Mrs.Grandcourt	fic1876f
uc1.b3593100|Max	fic1957m
uc2.ark+=13960=t8kd1t38x|Baldwin	bio1919m
wu.89068431725|Blount	bio1857m
mdp.39015010446352|Coupland	bio1956m
mdp.39015003474866|Mrs.Willsson	fic1965f
njp.32101063607855|Dickson	bio1877m
uc1.b4450124|Meyer	fic1982m
mdp.39015073376769|MonsieurEdouard	fic1967m
mdp.39015005657815|Marshall	bio1951m
mdp.39015059371743|DonaTulita	fic1937f
uc2.ark+=13960=t50g3xz58|WarrenW.	bio1897m
mdp.39015016443775|DonAlfonso	fic1963m
uc1.32106012045925|Joseph	fic1933m
3257|David	fic1821m
pst.000005649303|Mrs.Weissmuller	fic1966f
3669|NathanielBenson	fic1883m
uc2.ark+=13960=t9v12214b|Mr.Beales	fic1911m
mdp.39015073335237|Wight	bio1818m
nyp.33433081844742|Norman	bio1902m
nyp.33433082408521|Hajee	bio1845m
nyp.33433081681599|JohnRidge	bio1841m
wu.89097317580|Alice	bio1937f
loc.ark+=13960=t09w0j59r|Mr.Hayes	bio1876m
uc1.b4071860|Mr.Moore	bio1935m
5478|Mrs.Weston	fic1875f
mdp.39015059775786|Lanman	bio1959m
njp.32101041264829|DukeofBedford	bio1820m
mdp.39015063615705|Dryden	bio1846m
mdp.39015059423239|Raksha	fic1936m
wu.89097209498|Dyke	bio1821m
mdp.39015008595012|Lubarsky	bio1982u
nyp.33433082528666|Wotton	bio1800m
mdp.39015081939970|GeorgeMacDonald	bio1929m
13997|Everard	fic1832m
mdp.39015049798195|Birdwood	bio1930m
mdp.39015033892749|AndrewJackson	bio1939m
6826|Felix	fic1822f
mdp.39076005097402|Bothwell	bio1921m
13775|CrystalPalace	fic1852f
nyp.33433082373899|CharlesRackett	bio1869m
uc2.ark+=13960=t5n878d43|Morris	bio1910m
nyp.33433076094956|TonyBernard	fic1922m
5182|Mr.Granite	fic1868m
6158|Matilda	fic1840f
nyp.33433074920293|Mr.Ruggles	fic1916m
uc1.b3886036|JohnTaylorWood	bio1955m
14240|Silas	fic1864m
mdp.39015001183808|Paul	fic1982m
mdp.39015055050077|Bellot	bio1888u
njp.32101055879264|Agostino	bio1806m
mdp.39015050772709|LindaKnapp	fic2001m
mdp.39015032835103|Meyer	bio1994m
11324|Ninette	fic1805u
mdp.39015005435741|BroadwayJournal	bio1914u
mdp.39015026085079|Gibbon	bio1901m
mdp.39015020728369|NewYorkTimes	bio1959m
1219|Ambroise	fic1887m
mdp.39015046831353|Sylvia	bio1977f
mdp.39015071429156|S.D.Bates	bio1889m
14361|Anthony	fic1866m
mdp.39015047065530|Mel	fic1998m
uc1.b3727131|Bill	fic1966m
nyp.33433082421169|Sanderson	bio1874m
uc1.32106018988037|Evan	fic2007m
nyp.33433071361111|RobertdiSt.Severino	bio1823m
uc1.b4351950|Bitka	fic1959u
uva.x000306496|NewYorkLegislature	bio1859m
367|Cadmus	fic1816u
14977|Martha	fic1807f
uc1.$b748660|LordHerbert	bio1883m
11774|Billy	fic1865m
nyp.33433081857231|Scott	bio1837m
nnc1.50179627|Sacco	bio1817m
uc1.b3853070|Burton	bio1964m
5854|Richard	fic1823m
mdp.39015003502468|MizBlake	fic1940m
4813|Flora	fic1829f
uva.x030740406|Mr.Hale	bio1857m
nnc2.ark+=13960=t9183cv07|N.Amcr	bio1859u
yale.39002064229496|O'Connell	bio1893m
mdp.39015010446352|John	bio1956m
mdp.49015001347500|Will	fic1990m
uc1.32106005140550|Tommy	fic1981m
2897|MissWheeler	fic1828f
nyp.33433082418363|Mr.Taylor	bio1864m
mdp.39015008429352|Vaudreuil	bio1960u
inu.30000007177755|EarlHarold	fic1974m
uc2.ark+=13960=t4zg6kg6w|Isabella	bio1851f
mdp.39015056170130|Papi	fic2002m
inu.30000035415862|Lucas	fic1954m
pst.000003737545|Mother	bio1972f
mdp.39015004742048|DameMary	bio1938f
9583|Deronda	fic1876m
8079|Gordon	fic1897m
548|Beadle	fic1838m
inu.32000009453855|Henlein	fic1940m
14065|Mr.Abingdon	fic1841m
mdp.39015024786132|Cheeseman	fic1991m
mdp.39015023718227|Pumpelly	bio1959m
mdp.39015063780277|Pottinger	bio1925m
mdp.39015063946084|Emmanuel	fic1919m
8976|Earl	fic1833m
uc1.32106009782431|Madeleine	bio1937f
uc1.b309793|Wilson	bio1861m
mdp.39015041859839|Congress	bio1984u
12469|Josephine	fic1876f
3777|Mr.S.	fic1859m
uc1.$b86114|Mr.Harrington	fic1954m
mdp.39015015524872|Voeikov	bio1990u
nyp.33433082536842|Martenne	bio1799u
nyp.33433082193693|Lucullus	bio1811u
nyp.33433082215868|Owen	bio1863m
5794|Mr.Tiffany	fic1881m
uc1.b3145496|Polk	bio1882m
uc2.ark+=13960=t8pc2vp02|Katola	fic1904u
15005|MesserGasparino	fic1825m
mdp.39015064812863|Spenser	bio1887u
mdp.39015056811618|Lusk	fic2003m
14306|Mr.Langdale	fic1843m
uva.x000234677|West	fic1906m
nyp.33433061843078|Ruskin	bio1889m
uc2.ark+=13960=t3zs2n57g|Tarn	bio1877m
uc1.b4973141|Mann	bio1990m
mdp.39015016435482|Mary	fic1950f
uc1.$b86298|Bailey	fic1957m
mdp.39015071152568|Seymour	bio2000m
mdp.39076006198928|Vivian	bio1935m
9114|Geoffrey	fic1830m
mdp.39015008503982|Mrs.Boyd	bio1960f
nnc1.50189226|Mr.Harle	bio1847m
8738|Perdita	fic1840f
1888|LordGlen	fic1867m
uc1.b4103058|Frances	fic1905m
mdp.39015063972031|George	bio1868m
9642|Mrs.Gurley	fic1862f
10651|Elizabeth	fic1853f
7889|MistherLacy	fic1830m
nyp.33433067388011|ThomasLawrence	bio1850m
mdp.39015071589975|Shingebis	fic1909u
njp.32101066470160|Catherine	bio1874f
wu.89073370348|Lucas	bio1847m
uc1.31822035083740|Mr.Robison	bio1907m
uc1.b3792262|Julieta	fic1970f
12014|Theodore	fic1843m
mdp.39015000634553|Jacky	fic1928u
nyp.33433082364195|Mr.Whately	bio1818m
14650|Cecilia	fic1821f
uc2.ark+=13960=t2h70dt80|Michael	fic1921m
nyp.33433008498523|Mr.Magrath	bio1840m
14366|Leonce	fic1847m
13239|Mrs.Maclaurin	fic1791f
1565|Venn	fic1895m
mdp.39015063867702|Adam	bio1860m
2467|Isabella	fic1831f
nyp.33433082420344|PharmaceuticAssociation	bio1829u
loc.ark+=13960=t2r49sd6r|JohnAdams	bio1879m
inu.30000053377168|Sarah	fic1997f
mdp.39015048545316|ReginaldK.Gee	bio2000m
mdp.39015004858547|Mr.Weld	bio1934m
13711|Baptiste	fic1830m
loc.ark+=13960=t9n308n7d|Mr.Douthit	bio1900m
14796|Valancourt	fic1795u
mdp.39015065532031|Grant	fic1934m
njp.32101074871805|Moses	bio1897m
uc1.$b302094|Glynn	fic1930m
njp.32101067174076|RoyalHighness	bio1871m
hvd.32044026016576|Sidney	bio1810m
mdp.39015008850250|Radcliffe	fic1970f
7422|Mr.Brownlow	fic1898m
mdp.39015001153629|JaneWilkinson	fic1933f
6751|Jondrette	fic1862m
uc1.32106008372358|Kurt	fic1988m
uc1.$b103197|Wodjabet	fic1928u
loc.ark+=13960=t3bz68n7v|Garfield	bio1870m
mdp.39015035528622|Mr.ThomasThornMerriwether	fic1916m
2039|Pilzonoff	fic1843m
mdp.39015008831862|Mike	bio1982m
uc1.b3347014|Foster	fic1924m
uc1.$b756336|Mr.Dillon	bio1937m
mdp.39015040980768|Farrakhan	bio1997m
mdp.39015007876751|JohnTaskerHoward	bio1973m
nyp.33433076092380|Nan	bio1783f
loc.ark+=13960=t0tq6dv2w|MeerGoffar	bio1814m
uc1.$b115493|Mrs.Banner	fic1964f
wu.89097249668|Douglas	bio1860m
mdp.39015031903845|Prince	bio1967m
mdp.39015066038939|Mrs.Barbauld	bio1858f
mdp.49015000065178|S.C	bio1890m
loc.ark+=13960=t7cr63d8g|SamHays	bio1890m
mdp.39015048898301|Charpentier	fic1945m
mdp.39015035308140|MarilynPutnam	fic1956f
mdp.39015056307674|Arturo	fic2003m
mdp.39015016476775|SixthVirginiaRegiment	bio1904u
mdp.39015035773608|Bush	bio1996m
uc1.$b245047|Robert	fic1946m
njp.32101072355082|William	bio1804m
uc2.ark+=13960=t49p2xz21|HezekiahPollock	fic1919m
3122|Orosmandel	fic1836u
njp.32101055406357|Mr.Monroe	bio1890m
mdp.39015002317801|Japonesita	fic1972u
9781|Ellen	fic1897f
9605|Dan	fic1898m
mdp.39015008481601|Prince	bio1974m
12914|MatthiasDiggleby	fic1866m
wu.89094712924|Mr.Johnson	bio1819m
loc.ark+=13960=t2w38207p|Mr.Rehder	bio1895m
mdp.39015014510500|LadyTweeddale	bio1862f
13817|MissRoss	fic1851f
nnc2.ark+=13960=t9183cv07|Scott	bio1859m
mdp.39015013121127|Cashton	fic1959u
mdp.39015053590009|Maria	fic1981f
mdp.39015004757590|HenryChaplin	bio1967m
1636|Julia	fic1867f
wu.89072313497|Michael	bio1812m
nyp.33433081919643|Mr.Swiler	bio1915m
174|Alice	fic1845f
uc1.b4365476|GeorgieTreacherson	fic1985m
uc1.$b105730|Martha	fic1945f
uc1.b3548422|Irene	fic1929f
loc.ark+=13960=t20c5b728|Callender	bio1861m
mdp.39015005247393|Antoine	fic1959m
10013|Mr.Whaley	fic1880m
mdp.39015067236607|Mr.Grattan	bio1840m
njp.32101068979515|Mr.Burr	bio1818m
nyp.33433074925920|Boswell	bio1891m
uc1.b4180667|Macan	bio1943u
1833|ladydeMersey	fic1849f
13617|Dan	fic1888m
4466|John	fic1892m
mdp.39015003343129|Wells	bio1967m
wu.89060732757|JohnRandolph	bio1860m
mdp.39015051280272|Wells	fic2001m
inu.30000035415862|Dr.Swain	fic1954m
uc1.b4353930|PhilHoffman	fic1932m
mdp.39015016866900|Patrick	fic1989m
mdp.39015020080571|Stephen	fic1939m
nyp.33433076097298|Mr.Deane	bio1812m
uva.x030758991|Darius	bio1900m
nyp.33433081846895|Maldonado	bio1866m
uc1.$b794738|Judy	fic1917f
loc.ark+=13960=t72v30m24|ChristopherNorth	bio1870m
mdp.39015053747567|Mabel	bio2000f
uc2.ark+=13960=t6nz8431h|LeighMurray	bio1922u
hvd.hwb44t|LordRawdon	bio1832m
mdp.39015025297428|Peter	bio1992m
nyp.33433082413372|Flora	bio1870f
uc2.ark+=13960=t5bc45m16|Navarre	bio1908m
mdp.39015054064921|Clifford	bio1957m
mdp.39015008994066|Julio	fic1958m
nyp.33433082495494|Helen	bio1888f
uc1.b3286061|Dodwell	bio1880m
6419|Blanche	fic1857f
uc1.b2906502|WilliamPhillips	bio1927m
mdp.39015069315607|Hadi	fic2007m
loc.ark+=13960=t2t446n15|Mr.Brougham	bio1860m
inu.30000053313858|JohnMoore	bio1969m
uc1.b3962001|VeraNikolaevna	fic1906f
miun.bad1044,0001,001|Baxter	bio1911m
nyp.33433067405625|Mr.Kennedy	bio1894m
mdp.39015011371823|MacmillanCommittee	bio1960m
9956|Elysee	fic1879m
mdp.39015004858547|Streeter	bio1934m
11234|ThomasLynch	fic1842m
mdp.39015032034640|Bakken	fic1929m
mdp.39015066058390|Riley	bio1938m
13648|Beauchamp	fic1814m
8469|Heathcliff	fic1848m
mdp.39015019378366|Blackstone	bio1871u
mdp.39015015062808|JohnsHopkinsUniversity	bio1931m
mdp.39015005904258|Antonia	fic1919f
mdp.39015043049223|GeorgeThomasGeis	bio1998m
uc1.$b746882|Outram	bio1911m
nyp.33433069332363|William	bio1897m
mdp.39015032896030|LouisNewman	bio1994m
uc1.b3295235|Tim	fic1966m
mdp.39015067076490|Horace	bio1812m
mdp.39015071429156|Mary	bio1889f
13282|Mrs.Field	fic1885f
765|JackHarry	fic1871m
13580|Garmpore	fic1879u
uc1.32106018536331|Bisby	fic2006m
uc1.b3741277|Lucien	fic1984m
yale.39002088660205|Beattie	bio1812m
uc2.ark+=13960=t3mw2qd9b|Davies	bio1785m
12824|Rogers	fic1825m
1984|Carlo	fic1845m
mdp.49015001414128|Sperry	fic1953m
hvd.32044026016576|Joan	bio1810f
njp.32101067620961|Pirkheimer	bio1901u
mdp.39015059775786|Kittson	bio1959m
mdp.39015028782673|Connway	bio1977m
mdp.39015009380281|ThomasWentworthStorrow	bio1930m
nc01.ark+=13960=t9w09wr2b|Mr.Bathurst	bio1888m
11548|St.Paul	fic1887m
mdp.39015005788099|LadyJocelyn	bio1962f
mdp.39015014747482|Janice	fic1942f
uc1.$b59018|Marjorie	fic1946f
11623|KishenDoss	fic1827m
nyp.33433082541867|Howe	bio1848m
3157|Bruce	fic1885m
13658|Humbert	fic1843m
mdp.39015019776833|Paladini	bio1980m
nyp.33433069358764|O.Cromwell	bio1822m
mdp.39015010224346|Alice	fic1962f
nyp.33433081857215|Gordon	bio1837m
2660|Daisy	fic1869f
njp.32101059302131|Grouchy	bio1840m
uc1.$b468598|St.James	bio1808m
uc1.b4395421|Margarita	fic1914f
uc1.$b685018|Warwick	bio1954m
13647|Mrs.Meredith	fic1877f
812|Trueman	fic1835m
mdp.39015009090211|Hadrian	bio1976u
mdp.39015043090698|Maeterlinck	bio1998m
njp.32101064786369|LadyAlbinia	bio1876f
928|JohnFranklin	fic1878m
4122|Tom	fic1839m
13345|Mrs.Neville	fic1848f
mdp.39015038593748|Jung	bio1997m
mdp.39015008544937|Sternbach	fic1945m
uc2.ark+=13960=t6251p85f|Rees	bio1812m
uc1.b111894|Alvord	bio1868m
2616|Julia	fic1882f
uc2.ark+=13960=fk84j0bh94|Sumner	bio1892m
8266|M.deKew	fic1869m
uc1.32106020097736|Charles	bio1967m
4183|Lachema	fic1848u
loc.ark+=13960=t2w382f23|Beadle	bio1913m
mdp.39015063632742|Joseph	bio1899m
pst.000016272644|Demmie	fic1975u
uc2.ark+=13960=t9r20sf04|Hawke	bio1856m
mdp.39015066071765|Fletcher	bio1944m
mdp.39015026642853|Joseph	bio1955m
nyp.33433074863162|Donald	fic1910m
mdp.39015011905760|Constantine	bio1943m
mdp.39015049200226|Scott	bio1875m
5061|Shepherd	fic1882m
uc1.32106001465357|Mrs.Wood	bio1944f
14664|DonBertrand	fic1823m
12295|Caffarelli	fic1892u
uc2.ark+=13960=fk9b56ds7j|Cook	bio1860m
mdp.39015031307708|Tearlach	fic1949u
13835|Everard	fic1826m
uc1.$b103197|Paddy	fic1928m
mdp.39015017722797|SamuelBeckett	bio1990m
coo.31924013236355|Buller	fic1929m
uc2.ark+=13960=t7np2d401|Susan	bio1906f
mdp.39015012983840|AuntieBye	bio1988f
13413|Hipsley	fic1872u
mdp.39015031924320|Fleury	bio1948m
yale.39002060504462|Mrs.Jennings	bio1829f
uc2.ark+=13960=t04x5cq3n|Millie	fic1920f
inu.30000088073212|Safroot	fic1998u
nyp.33433074931050|Mrs.Garburn	fic1906f
njp.32101013775612|MISSPRESCOTT	bio1884f
14113|Pope	fic1825m
nyp.33433074815162|JackWhitney	fic1916m
pst.000043694815|LloydHenderson	fic1998m
mdp.39015001590952|Harclay	bio1956m
4336|Leopold	fic1846m
nyp.33433082495494|Lambro	bio1888u
inu.30000028599573|Darwin	fic1979m
mdp.39015043216947|Patel	bio1998m
mdp.39015027764151|Pelpell	fic1954u
1766|Charles	fic1834m
inu.32000005667904|Sebastian	bio1836m
uc2.ark+=13960=t2m61fp8k|John	bio1797m
uc1.$b795583|Mussolini	fic1944m
umn.31951002079613d|Amanda	fic1948f
mdp.39015013328771|FrauvonSchelden	fic1971m
1217|Armand	fic1887m
uc1.b513284|Laurens	bio1803u
4854|Sigismund	fic1829m
nyp.33433068293285|Pius	bio1822m
mdp.49015001298422|Jesse	fic1987m
mdp.39015062065936|Milton	bio1979m
mdp.39015021716306|FrancisXavier	bio1921m
uc1.b3022331|Smith	bio1855m
mdp.39015031222964|Jim	fic1935m
