mdp.39015002085697|Proctor	bio1982m
loc.ark+=13960=t1dj62c5r|Webster	bio1904m
wu.89094739786|St.Paul	bio1856m
mdp.39015030928926|MotherShipton	fic1924u
loc.ark+=13960=t3bz68n7v|SupremeCourt	bio1870u
uc2.ark+=13960=t6ww79k3x|George	fic1914m
mdp.39015003593988|DebraKent	bio1983u
wu.89097315568|Chamberlain	bio1885m
wu.89060397536|Mills	bio1958m
mdp.39015070756781|Bob	fic2007m
288|Dan	fic1887m
906|Tadeus	fic1825u
4095|LadyCeciliaClarendon	fic1883f
nyp.33433075746341|Jonas	fic1906m
9744|Simon	fic1859m
mdp.39015005879245|Morrison	fic1980m
344|Haroun	fic1862m
uc1.b3813068|H.Smith	bio1890m
6242|PrudenceGolby	fic1898u
uc2.ark+=13960=t51g0sn0b|Fagin	bio1880m
14732|Sophia	fic1836f
uc2.ark+=13960=t4mk67555|Gustavus	bio1883u
uc1.b3335202|Christ	bio1874m
uc1.32106013290363|Weinberg	bio1995m
uc2.ark+=13960=t52f7sg73|Gregory	bio1812m
mdp.39015004125210|Bickel	bio1980m
7345|Mrs.Everett	fic1852f
uc1.b3477968|Norah	fic1968f
pst.000028441922|Mrs.Wernham	fic1969f
7801|Andrew	fic1799m
uc1.b3578449|Bishop	bio1952m
osu.32435083797019|Venetia	fic1959f
mdp.39015056479077|Kathleen	fic2003f
mdp.39015072138087|Mario	fic1952m
14221|Erstevolt	fic1838u
mdp.39015060873158|Roosevelt	fic2002m
uc1.b3668923|KaranTalwar	fic1990m
14831|Stanley	fic1801m
uc1.$b51855|John	bio1936m
nyp.33433081737326|Jesus	bio1818m
7189|Jack	fic1884m
uc1.$b748507|Stuart	bio1832m
14269|Herbert	fic1850m
mdp.39015054488542|Sam	bio1872m
12515|Mrs.Trembleton	fic1871f
njp.32101068597168|JOHNNEWTON	bio1824m
wu.89100142652|MadamedeMaintenon	bio1938m
mdp.39015051143306|Knight	bio1924m
mdp.39015041855332|Clinton	bio1961m
mdp.39015050985103|Meadows	fic1979m
nyp.33433047991785|Lanzi	bio1823u
mdp.39015018887631|FrauleinSonia	fic1926f
4434|Doublepop	fic1804m
mdp.39015023710125|Dickey	bio1959m
hvd.32044010407419|Parr	bio1835m
uc2.ark+=13960=t9j391h38|Eleanor	bio1863f
uc1.31822033884578|Kate	fic1952f
2|Alice	fic1855f
mdp.39015041769517|Paul	bio1998m
14366|Lionel	fic1847m
2553|Nina	fic1892f
nyp.33433071393460|Shakespeare	bio1891m
yale.39002085610831|Michell	bio1885m
mdp.39015022067832|Rafa	fic1991m
wu.89068878792|Ramusio	bio1828u
10849|Caroline	fic1889f
mdp.49015002768704|Doug	fic2000m
mdp.39015003836411|John	bio1978m
uc1.$b243902|Elsa	fic1951f
mdp.39015023270492|Mrs.Evelyn	bio1906f
6154|Uriah	fic1866m
mdp.39015048887015|William	bio1794m
mdp.39015000545361|MissLeBlanc	fic1951f
uc2.ark+=13960=t4qj7hz9p|Henriette	bio1897f
14231|MajorDelmont	fic1798m
njp.32101064786385|Mrs.Williams	bio1876f
uc1.b5118697|Gavin	bio1989m
mdp.39015054134096|Cervantes	fic1990m
nyp.33433076096688|Donne	bio1872m
8266|Mr.Ridley	fic1869m
uc1.b3543519|Irving	bio1963m
mdp.39015000609639|Rosie	fic1967f
uc1.$b468598|D.D.*	bio1808m
uc2.ark+=13960=t5cc0xm13|Michael	fic1902m
nyp.33433082359898|Munster	bio1833u
mdp.39015030694536|Kinu	fic1919u
6729|Jack	fic1889m
2996|DonFerrante	fic1885m
7422|Sikes	fic1898m
9025|MasterTom	fic1862m
11242|Mrs.Effingham	fic1860f
mdp.39015016444005|Ryan	fic1955m
mdp.39015014392784|LordBrudenalle	bio1965m
13283|LadyHonoria	fic1786f
uc1.32106010530787|Ansallah	fic1992u
14461|Dolly	fic1875f
uc2.ark+=13960=t6zw1d515|Williamde	bio1808m
3366|Mrs.Scott	fic1845f
8701|Mrs.Parkinson	fic1833f
uc2.ark+=13960=t88g8hq3d|Huet	bio1798m
nyp.33433076054703|MissAllaire	fic1916f
chi.14640914|Tommy	bio1848m
inu.32000010022269|Warburton	bio1855m
mdp.39015060875583|Steenkamp	fic2003m
wu.89000839258|Mr.Dufrene*	fic1922m
3998|MaryAnn	fic1806f
mdp.39015027329021|Smyth	bio1973m
mdp.39076005097410|ThomasLupo	bio1921m
wu.89099962805|Robert	bio1859m
yale.39002088445433|Herodotus	bio1872u
uc1.$b111106|Teddy	bio1944m
mdp.39015001542326|Lowell	bio1953m
uc1.$b744259|M.Messimy	bio1932u
uc1.$b322830|CastellumMaris	fic1926m
1550|Mr.Cresson	fic1856m
uc2.ark+=13960=t14m97n86|Nicolas	bio1812m
uc2.ark+=13960=t85h7dz6s|Mr.Rolls	fic1922m
mdp.39015054123263|GangaSingh	fic2001m
uc1.$b799187|CarterBrock	fic1941m
uc2.ark+=13960=t3dz04t3v|WilliamC.McClure	bio1905m
mdp.39015042991938|BlueFalcons	bio1999u
uc1.$b103964|Owen	fic1941m
3727|Marquis	fic1820m
4267|SylviaMurray	fic1893u
njp.32101067174076|Goetz	bio1871m
pst.000017812955|Jake	fic1990m
14749|Jose	fic1889m
500|Fluellen	fic1825m
wu.89072934342|S.S.Sulliger	bio1903m
uc1.b4105593|Vaughan	bio1962m
uc1.32106019735965|Kennedy	bio1941m
wu.89054771837|MissMontgomerie	bio1944f
mdp.39015003699298|Lytton	bio1954m
mdp.39015035542573|Harris	bio1939m
loc.ark+=13960=t42r3xd6p|WilliamsCollege	bio1881m
mdp.39015040371026|RoyR-Boy	fic1998m
uc1.$b244999|Boldwater*	fic1932f
986|MissHumphreys	fic1852f
13835|JohnAbbot	fic1826m
uc1.$b104264|MissBoddy	fic1962f
13685|ElizaBennett	fic1882u
inu.30000109104954|Beatty	fic2006m
